0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
6.679,4.563,6.664,4.322,6.687,9.193,3.644,2.023,6.276,2.913,2.579,2.620,2.019,2.986,1.520,1.888,1.423,2.514,6.997,2.712,1.717,3.439,1.689,10.904,1.435,2.569,2.453,2.635,1.528,3.309,1.852,1.005,3.780,1.170,2.253,2.063,9.262,1.099,10.506,3.841,1.914,1.870,0.431,,,,,,,,,,,,,,,,
14.867,5.133,6.370,4.399,11.052,2.171,5.211,6.893,11.405,4.343,7.536,1.350,1.524,21.678,6.505,1.934,1.776,5.735,3.799,3.104,1.183,1.578,7.228,0.507,11.269,0.911,6.503,1.141,1.579,1.976,6.464,0.423,5.729,3.545,1.257,3.246,2.961,1.859,3.346,1.900,1.294,3.773,0.885,,,,,,,,,,,,,,,,
3.198,2.143,2.548,2.335,4.716,9.238,4.595,4.503,3.973,1.640,2.280,5.591,4.140,1.307,1.990,2.221,3.054,2.896,1.153,3.308,2.476,4.764,6.838,5.168,2.186,3.013,2.221,1.916,5.701,2.053,1.795,2.838,1.930,6.283,2.121,1.815,4.440,2.174,2.568,4.310,1.589,2.036,1.679,,,,,,,,,,,,,,,,
7.761,2.746,4.846,1.278,11.852,6.618,2.271,3.028,3.295,4.367,7.585,3.892,4.983,12.069,0.976,3.536,1.315,14.264,2.739,2.295,2.365,1.231,4.291,0.355,9.145,1.404,2.164,2.161,2.363,1.807,2.572,1.923,2.280,7.173,3.773,2.986,2.254,3.453,5.317,0.558,2.187,1.268,1.122,2.351,3.663,5.028,1.430,2.182,,,,,,,,,,,
4.710,3.299,3.433,2.775,4.198,1.988,1.486,2.204,3.319,2.859,3.188,5.965,4.721,5.734,2.069,3.602,1.551,16.694,2.285,2.770,3.384,2.167,4.165,5.309,1.034,6.764,1.796,5.040,1.730,4.483,2.467,2.359,19.037,1.109,1.841,2.768,1.456,8.298,1.543,3.278,2.047,1.111,6.185,1.730,2.362,2.942,0.467,,,,,,,,,,,,
4.367,2.391,1.924,4.578,4.380,52.911,3.195,4.882,7.397,8.576,0.592,2.584,2.852,17.692,5.497,9.618,2.982,3.574,6.323,14.089,2.068,3.682,4.011,7.019,2.330,8.474,10.878,30.664,0.692,3.803,0.515,3.637,3.557,4.171,9.987,1.218,7.765,2.526,2.483,4.187,1.905,2.132,2.166,,,,,,,,,,,,,,,,
3.970,2.501,3.356,2.202,3.054,4.682,4.699,2.645,13.320,23.528,2.501,7.243,1.522,5.645,3.505,1.368,2.271,12.665,4.675,4.494,0.612,2.443,1.390,2.224,2.584,2.121,3.583,1.740,4.681,1.437,1.235,7.219,2.820,3.166,2.848,2.445,5.168,0.348,3.691,1.979,6.584,1.029,2.377,0.396,,,,,,,,,,,,,,,
3.291,3.910,2.300,7.515,3.169,29.399,5.428,1.938,7.858,7.038,1.219,1.758,6.939,2.164,2.480,1.274,5.233,9.188,2.526,0.376,5.113,10.674,1.489,3.426,2.914,0.435,5.827,0.441,17.193,1.785,6.737,0.350,2.301,9.765,3.952,3.842,2.772,2.837,4.348,1.459,1.331,3.387,0.543,,,,,,,,,,,,,,,,
5.557,10.958,5.474,2.643,1.209,7.799,0.349,6.501,12.570,1.978,3.176,1.521,1.040,8.196,2.479,11.892,1.153,8.516,0.486,2.228,9.630,0.630,3.351,8.213,1.989,12.197,3.390,11.410,1.619,0.341,0.604,2.758,4.990,4.525,2.883,0.568,1.277,5.005,3.757,1.809,4.856,2.329,1.183,0.699,,,,,,,,,,,,,,,
2.987,4.237,1.481,8.098,8.231,0.007,4.327,2.548,2.959,5.986,2.596,1.574,21.158,2.361,16.305,1.749,25.224,6.427,6.811,2.361,1.395,2.599,2.963,4.012,2.677,0.743,8.461,2.616,23.028,1.914,6.355,5.578,0.331,3.511,1.542,3.268,1.127,9.501,0.391,1.742,0.553,2.471,0.568,1.463,,,,,,,,,,,,,,,
5.233,5.076,5.119,5.316,5.658,3.086,1.950,2.086,2.305,2.791,1.568,2.118,41.049,0.634,2.008,2.255,2.238,1.900,7.821,0.586,1.677,8.426,0.798,3.073,6.882,1.605,3.275,2.554,1.268,9.176,3.589,2.266,2.387,1.254,4.848,4.184,2.167,2.819,2.692,3.426,3.891,1.502,2.199,0.411,,,,,,,,,,,,,,,
1.805,2.375,0.799,1.531,1.961,6.440,2.239,12.307,7.411,5.118,2.048,16.190,10.371,2.510,1.570,2.460,3.074,1.751,4.235,3.049,2.909,4.345,1.256,2.646,5.955,8.285,0.912,2.461,0.420,4.567,1.691,1.602,6.038,3.251,3.411,5.714,0.850,10.390,2.193,1.403,1.830,2.666,3.006,2.387,2.991,0.940,3.943,1.800,1.379,0.810,,,,,,,,,
4.928,5.030,2.246,2.058,3.165,5.917,3.833,9.574,2.478,0.384,4.515,21.512,4.069,3.710,8.913,6.158,11.139,4.132,7.987,2.779,1.178,2.447,0.801,2.513,11.399,3.217,1.280,2.463,2.687,0.550,2.579,2.302,2.196,2.100,1.194,1.852,2.056,2.548,4.442,1.320,5.816,0.451,1.334,0.309,1.582,3.303,0.364,3.659,1.596,0.886,0.514,1.491,,,,,,,
3.994,3.872,3.034,4.597,9.815,4.941,3.028,10.033,3.693,2.368,4.421,2.574,3.028,1.692,8.638,0.626,2.666,8.348,2.634,1.820,7.557,3.927,1.631,2.829,0.963,10.314,1.179,19.418,1.497,0.634,4.202,3.312,1.620,2.553,3.065,1.303,6.008,4.179,6.445,1.236,1.303,0.888,2.236,0.426,,,,,,,,,,,,,,,
6.834,4.675,5.936,6.101,2.370,17.685,1.756,2.492,3.237,6.828,6.904,5.699,1.265,17.255,4.662,3.876,1.936,3.475,1.379,5.476,1.290,3.149,5.291,0.819,2.086,2.407,1.566,3.149,2.330,4.703,1.999,1.782,2.198,2.058,3.958,2.881,7.069,4.532,1.505,4.072,3.315,1.568,1.714,0.485,,,,,,,,,,,,,,,
