0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
,2.225,,2.115,,4.068,,3.036,6.693,,1.469,3.504,3.854,,5.81,1.588,,2.472,,,2.262,1.988,,,,,2.033,15.69,,,11.131,,,2.917,0.722,,,,1.574,,3.391,3.595,2.4,2.592,,4.694,10.229,2.051,,,8.075,,3.01,,3.061,2.266,,,2.056,,2.356,,1.406,,,,,13.72,3.368,,18.951,3.963,7.215,1.759,6.218,5.001,2.172,,,,2.044
,,,,1.294,,,6.583,7.302,,,,0.933,,5.859,1.285,7.254,2.973,,1.986,0.387,6.65,,,,2.768,4.783,,,,2.531,1.689,1.348,6.406,0.349,,3.36,2.895,4.112,,,,2.155,6.725,,7.818,,1.852,6.289,,3.694,,,,,0.873,,3.945,2.133,2.902,1.984,,0.589,17.036,,7.03,,,3.77,,,1.687,2.681,2.937,5.468,,1.909,,3.92,,6.658
,,,,,0.804,1.325,1.886,5.051,,,1.26,4.474,,0.967,,17.579,2.005,0.783,8.794,,6.437,,,,3.037,,10.735,7.022,,,8.388,4.335,,,,,7.426,6.39,14.919,10.956,,,,,,0.651,,,,0.694,1.364,20.978,1.738,2.326,,,8.555,,,2.032,5.306,1.015,2.816,,16.544999999999998,2.619,15.69,3.689,0.564,20.268,,2.659,3.394,,1.589,0.846,,4.067,,
,,,2.797,1.365,,,,1.962,,19.074,1.729,,,,9.578,,,,,3.257,3.874,,,3.736,0.378,,,,,23.881,3.758,3.375,3.169,14.199000000000002,2.606,3.784,3.049,3.536,,3.155,2.697,,2.589,,4.864,,2.58,,5.212,3.608,,,1.477,2.338,0.997,,,,2.739,2.304,5.841,13.819,,1.135,,6.298,1.167,3.136,,,,1.987,,6.333,5.276,,,2.033,2.612,0.537
4.443,1.187,,,,1.308,,,7.911,5.743,,,,,2.895,,4.501,3.055,,2.595,,2.58,2.412,7.596,,10.44,18.471,,,3.047,2.28,,,0.815,,16.735,8.676,,,3.093,,1.672,2.638,,4.901,2.955,,5.915,3.548,6.028,,4.866,,,,,2.912,,2.786,,3.271,1.958,,,2.739,2.961,4.808,3.42,,,1.635,,5.926,1.203,,,2.406,0.48,,1.636,2.792
1.522,,2.322,2.623,0.798,,,3.61,,1.579,,,,,,2.21,1.581,2.77,,,,13.47,2.731,13.719,3.744,,2.473,4.397,0.575,2.875,,,1.633,,1.629,,3.042,,,2.893,,6.655,,,2.027,,8.378,,12.33,,33.431,0.644,1.499,,,5.145,1.27,,,,2.227,3.581,7.944,2.547,6.792,7.086,,10.444,,,1.059,,,,9.468,6.947,3.556,0.323,16.367,,
12.968,2.147,,11.102,5.313,,,,,,1.467,9.879999999999999,,1.291,,,9.869,7.403,1.006,,,3.412,,6.417,6.358,1.627,1.719,2.773,,2.437,,1.519,1.477,,,7.51,3.501,,,4.733,28.824,7.824,6.163,,,,,11.914,,,12.757,3.468,2.083,2.88,,,4.679,4.373,,1.697,1.542,1.715,,,2.269,2.367,,,,0.51,,2.562,,3.428,,4.826,,3.063,,,14.762
,1.681,,,1.636,,2.575,3.877,3.737,,6.181,,8.366,2.745,,0.637,,2.505,,0.638,7.429,,,1.103,,,4.904,1.682,2.501,1.999,,,3.683,,,,3.64,3.968,,4.24,,,1.407,,,,3.658,,1.53,,4.156,3.026,,0.841,,,3.535,,2.399,1.309,2.719,5.305,,5.372,,1.674,,,3.234,5.837,1.399,10.706,3.031,,2.265,5.383,2.377,,,4.345,
3.206,,,1.521,,2.995,,0.77,,3.779,0.505,,7.618,,6.795,8.857,3.172,2.396,2.167,,2.981,,5.219,,,4.315,5.175,,2.124,,4.702,1.319,,4.999,,,,15.19,3.289,,1.379,1.633,,,6.021,,4.302,,,,4.962,6.736,1.497,,1.231,,16.491,7.796,,,0.641,,16.525,0.678,1.431,,,,,7.223,,0.595,,,12.987,6.909,2.387,1.757,,11.867,
,,6.664,,9.193,4.322,6.679,6.687,,,,1.914,,1.87,0.431,1.099,,,10.506,,3.841,,,,9.262,2.063,,,1.717,,2.023,4.563,,,,2.019,,1.689,,3.644,,2.579,1.423,1.888,,,3.439,2.62,2.712,6.997,,,,2.986,1.852,1.005,,1.528,,2.635,3.309,2.514,1.52,2.569,,1.435,2.913,2.453,,,,,,3.78,1.17,,,10.904,2.253,6.276,
