cluster,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
1,1.974,4.067,6.213,3.621,4.166,13.649,2.667,14.64,2.2,2.25,2.895,5.209,1.47,3.389,2.069,9.642,0.443,2.564,9.6,1.725,6.521,0.864,1.828,2.423,1.709,1.427,4.457,1.071,4.401,4.136,12.501,1.713,3.064,3.776,3.364,1.914,10.065,9.006,3.729,4.683,5.016,1.14,1.943,0.617,0,0,0,0,0,0,0,0
2,3.259,3.111,10.104,1.749,4.859,5.247,2.128,3.234,2.826,3.995,18.201,11.474,2.774,1.68,11.024,0.511,3.685,1.425,12.095,3.696,0.363,5.044,6.824,2.708,1.339,3.505,2.163,5.707,0.663,4.909,2.731,3.912,1.311,5.855,1.463,3.518,2.561,2.063,1.658,6.794,1.663,2.951,1.952,2.29,0,0,0,0,0,0,0,0
2,7.462,11.585,2.609,16.472,30.76,2.556,5.468,3.706,4.884,13.394,5.242,1.266,11.618,8.506,14.168,2.164,3.132,3.239,5.037,7.67,1.014,1.914,3.65,5.019,2.329,2.883,0.849,6.057,4.102,14.198,1.4,0.579,6.237,11.347,3.721,8.556,2.455,1.257,3.089,3.045,2.503,4.362,1.409,0,0,0,0,0,0,0,0,0
2,5.065,3.135,3.32,4.642,7.739,3.049,4.5,5.458,3.608,1.625,4.421,5.657,1.786,10.051,3.078,2.093,2.187,4.266,7.684,6.162,3.054,5.497,8.575,0.475,3.213,0.5,4.305,2.543,3.331,2.976,1.514,7.239,2.66,2.786,3.258,1.314,3.529,2.975,1.914,2.704,3.599,2.831,2.101,0,0,0,0,0,0,0,0,0
2,9.274,4.969,4.557,1.522,3.98,11.845,1.127,11.005,0.856,12.524,10.629,3.367,8.774,3.575,2.029,2.974,1.704,1.846,5.706,12.64,4.674,2.405,1.725,2.241,3.819,2.052,3.296,1.405,2.514,1.896,4.586,2.779,6.706,0.853,2.297,16.209,1.131,1.101,2.086,2.2,1.581,1.329,0.969,0,0,0,0,0,0,0,0,0
2,3.451,3.216,1.13,3.057,17.527,4.21,2.964,7.302,3.99,4.243,19.392,3.583,11.085,5.565,1.186,7.468,2.739,7.305,1.032,6.682,1.62,5.672,1.128,2.608,2.192,2.898,15.452,1.371,2.634,6.183,3.203,2.518,3.36,2.521,1.734,6.821,1.127,1.507,4.964,0.642,4.986,2.473,3.527,1.655,1.675,0,0,0,0,0,0,0
2,4.332,5.505,11.437,8.049,1.997,4.101,2.99,6.575,6.433,11.52,2.069,4.499,14.476,8.978,1.881,3.375,0.584,3.576,1.464,2.228,4.974,6.519,2.907,2.394,2.691,5.146,0.567,3.991,6.03,2.645,2.905,14.832,2.092,1.184,1.608,3.141,5.465,2.147,3.442,2.17,5.331,2.869,1.819,0,0,0,0,0,0,0,0,0
2,3.619,2.709,4.124,3.105,8.464,1.288,3.884,1.821,4.092,2.624,2.724,6.508,1.129,3.797,2.935,1.402,8.294,3.062,3.81,3.69,0.488,5.375,4.854,3.936,0.55,3.416,16.581,7.4,0.352,3.525,0.526,4.253,2.524,5.089,5.029,0.332,3.461,5.397,5.171,3.485,1.176,1.83,0.639,0,0,0,0,0,0,0,0,0
2,4.033,4.366,2.92,4.874,1.567,2.773,2.276,8.907,5.662,16.384,2.628,9.073,1.634,5.979,2.93,0.669,3.653,17.679,10.656,2.635,6.894,0.518,23.586,5.567,2.442,0.9,12.631,8.549,3.273,4.001,2.789,1.962,3.491,4.605,3.254,2.628,4.888,3.298,3.854,1.125,3.323,2,1.694,0,0,0,0,0,0,0,0,0
2,2.511,4.468,2.758,3.039,4.583,1.898,2.93,1.954,2.957,0.319,6.188,1.897,2.58,2.091,2.426,6.485,7.229,3.795,2.605,4.751,2.708,1.142,9.4,3.504,1.386,2.456,3.168,2.241,4.205,2.867,1.191,28.025,0.613,11.817,1.675,4.37,1.133,3.113,4.671,5.13,1.709,1.894,0.477,0,0,0,0,0,0,0,0,0
2,3.223,2.212,3.54,3.467,4.506,3.001,2.298,12.57,2.652,0.624,5.017,1.11,2.194,6.327,0.48,2.822,2.454,3.867,3.735,13.65,4.102,5.071,3.075,2.325,2.351,1.191,7.162,3.892,2.797,1.445,3.711,2.594,2.147,2.632,3.177,2.696,3.067,3.49,3.506,3.857,5.313,1.173,2.341,0.627,0,0,0,0,0,0,0,0
2,3.257,1.962,2.304,5.841,9.578,3.736,0.378,2.606,2.589,19.074,1.729,3.874,2.797,1.365,2.739,3.608,3.049,3.375,3.784,5.276,2.338,4.864,1.987,6.333,1.135,0.997,13.819,23.881,6.298,3.136,1.167,2.697,3.155,3.536,2.58,5.212,1.477,1.959,1.545,7.275,0.47,2.588,0.692,2.007,0.832,3.758,2.612,2.033,0.537,0,0,0
2,7.824,4.733,6.163,1.715,28.824,11.102,14.762,4.679,2.773,2.147,3.501,12.968,1.006,12.757,11.914,2.437,2.88,7.51,9.869,4.789,2.694,2.397,1.467,5.313,3.412,6.417,1.291,1.519,1.477,7.403,6.358,1.627,1.719,3.468,2.083,2.562,3.428,2.367,2.269,4.826,3.063,4.373,1.697,1.542,0.51,0,0,0,0,0,0,0
2,4.367,2.391,1.924,4.578,4.38,52.911,3.195,4.882,7.397,8.576,0.592,2.584,2.852,17.692,5.497,9.618,2.982,3.574,6.323,14.089,2.068,3.682,4.011,7.019,2.33,8.474,10.878,30.664,0.692,3.803,0.515,3.637,3.557,4.171,9.987,1.218,7.765,2.526,2.483,4.187,1.905,2.132,2.166,0,0,0,0,0,0,0,0,0
2,6.834,4.675,5.936,6.101,2.37,17.685,1.756,2.492,3.237,6.828,6.904,5.699,1.265,17.255,4.662,3.876,1.936,3.475,1.379,5.476,1.29,3.149,5.291,0.819,2.086,2.407,1.566,3.149,2.33,4.703,1.999,1.782,2.198,2.058,3.958,2.881,7.069,4.532,1.505,4.072,3.315,1.568,1.714,0.485,0,0,0,0,0,0,0,0
3,4.484,1.869,2.913,0.326,5.4,5.298,3.049,8.938,3.963,6.573,8.713,4.916,0.832,5.768,7.581,4.335,0.457,3.463,11.068,0.386,2.815,2.269,2.332,2.104,4.278,15.524,3.066,1.437,1.419,13.432,3.008,3.23,3.618,0.834,2.102,2.944,1.823,0.539,3.639,3.536,3.46,2.259,0.516,0,0,0,0,0,0,0,0,0
3,4.831,2.066,5.075,2.895,7.108,2.316,3.323,11.913,1.974,6.636,4.293,0.371,2.837,3.182,9.513,2.503,5.976,3.66,2.07,2.672,1.663,5.765,6.31,6.57,2.823,20.356,2.627,3.283,0.397,1.529,1.193,7.742,5.95,6.645,3.609,5.368,0.999,2.138,4.162,10.589,0.565,2.728,1.912,0.843,0,0,0,0,0,0,0,0
4,13.233,2.274,8.202,12.676,6.366,7.393,8.098,2.81,2.173,5.95,1.201,3.985,1.952,9.118,9.807,6.065,0.524,18,2.376,34.622,6.541,1.486,3.636,3.839,3.097,2.707,3.061,0.976,9.564,1.159,5.636,0.559,3.543,2.139,2.499,0.562,4.274,2.493,4.61,1.064,2.837,1.36,1.538,0,0,0,0,0,0,0,0,0
4,3.61,8.378,2.322,2.731,2.21,3.744,1.581,13.719,12.33,1.629,2.227,9.468,5.145,10.444,13.47,2.473,2.77,1.579,1.522,33.431,1.499,0.644,2.027,1.633,6.655,2.893,3.042,4.397,16.367,7.944,7.086,2.547,6.947,3.556,0.323,2.623,0.446,0.352,6.792,1.27,3.581,1.059,2.875,0.575,0,0,0,0,0,0,0,0
5,10.633,2.434,1.92,3,4.918,6.777,17.466,3.118,5.259,0.61,8.824,2.947,2.251,3.034,14.322,2.494,3.084,1.47,4.777,2.326,8.214,0.483,4.504,4.701,6.937,4.866,2.947,2.437,0.39,6.288,2.143,2.398,4.653,1.023,8.77,4.34,2.535,2.004,9.876,0.599,4.441,3.159,1.416,0,0,0,0,0,0,0,0,0
5,3.451,3.478,2.028,6.049,1.224,7.893,18.38,2.362,16.87,2.517,13.314,2.663,10.432,1.963,6.83,1.954,2.083,6.831,5.284,2.471,4.957,0.34,3.483,1.648,3.407,0.472,2.772,2.211,3.07,3.403,2.589,2.601,2.372,1.813,9.511,0.509,2.272,5.636,2.284,0.536,3.848,3.171,1.407,2.62,0.425,0,0,0,0,0,0,0
